neighborhood,neighborhood_latitude,neighborhood_longitude,venue_name,venue_id,venue_rating,venue_category,venue_address,venue_city,venue_latitude,venue_longitude
Hyde Park,33.989040000000045,-118.32669999999996,The Marathon Clothing,56a7aa0a498eed3ed3b70434,,Men's Store,3420 W Slauson Ave Ste F,"Los Angeles, CA 90043",33.98891,-118.33166
Hyde Park,33.989040000000045,-118.32669999999996,Bank of America,4b6c59eff964a520d7322ce3,,Bank,5471 Crenshaw Blvd,"Los Angeles, CA 90043",33.99114505477383,-118.33139734786752
Inglewood,33.96178000000003,-118.35673999999996,The Savoy Entertainment Center,4bbd4af4a0a0c9b6d48c1b0f,,General Entertainment,218 S LA Brea Ave,"Inglewood, CA 90301",33.961122257593054,-118.35308749194603
Inglewood,33.96178000000003,-118.35673999999996,Rhythm Dance Studio,4cb9e18fadcd548174821fa2,,Dance Studio,225 W Manchester Blvd (btw Fir & Eucalyptus),"Inglewood, CA 90301",33.96180508,-118.35847
Inglewood,33.96178000000003,-118.35673999999996,The Wanted Movie Set,4f26de03e4b0eec70090f4b4,,General Entertainment,405 Manchester Avenue (Inglewood Avenue),"Inglewood, CA 90301",33.96162011166014,-118.35968324899306
Inglewood,33.96178000000003,-118.35673999999996,The Miracle Theater Of Inglewood,59d90a7f840fc26b1acce742,,Theater,276 S Market St,"Inglewood, CA 90301",33.961067,-118.351746
Inglewood,33.96178000000003,-118.35673999999996,Callie Rose,53f7e9a2498e573ad152a78c,,Public Art,207 E Nutwood St (La Brea),"Inglewood, CA 90301",33.960248862678434,-118.35276653584582
Inglewood,33.96178000000003,-118.35673999999996,"Dancer 4 Life, LA Dance Studio",5560c67e498e2fe8f0f925a6,,Dance Studio,210 S LA Brea Ave (Manchester Blvd),"Inglewood, CA 90301",33.96194839477539,-118.35977172851562
Inglewood,33.96178000000003,-118.35673999999996,Woodworks Studio's,4ef2aa9f0aaf88e5624c9fb9,,Music Venue,"Inglewood, CA 90301",United States,33.961940198158544,-118.35240699596868
Inglewood,33.96178000000003,-118.35673999999996,Southeast Symphony Recital Hall,50b97279e4b09c65418b4663,,Concert Hall,"Inglewood, CA 90301",United States,33.96399,-118.353253
Inglewood,33.96178000000003,-118.35673999999996,The Art Gallery,4d9ffc7ee8a6721eab4e2ea5,,Art Gallery,118 N Market St,"Inglewood, CA 90301",33.963457900660664,-118.35154523854007
Inglewood,33.96178000000003,-118.35673999999996,Fox Inglewood Theater,52b38b39498e3e00abf50c77,,Indie Movie Theater,107 Market Street (Queen Street),"Inglewood, CA",33.9632212336844,-118.35197897130611
Inglewood,33.96178000000003,-118.35673999999996,RESIDENCY,5734d29b498e6fbf6800515b,,Art Gallery,310 E Queen St,"Inglewood, CA 90301",33.962891,-118.351328
Inglewood,33.96178000000003,-118.35673999999996,Pirate gypsy hideaway,53e922fa498e08c3d1d3ba2c,,Performing Arts Venue,"Inglewood, CA",United States,33.964910942925954,-118.36017973480979
Inglewood,33.96178000000003,-118.35673999999996,Accelerate Sycle Studio,4e1d0e097d8b48531b3c94f7,,Gym,300 S LA Brea Ave,"Inglewood, CA 90301",33.960276867569426,-118.35281789862286
Inglewood,33.96178000000003,-118.35673999999996,Allure Dance & Fitness Studio,4e2739cfb3ad5b136f417382,,Gym / Fitness Center,300 Inglewood Avenue,"Los Angeles, CA 90301",33.9616218843058,-118.36172103881836
Inglewood,33.96178000000003,-118.35673999999996,j3functional fitness,55ce19de498e30e0377a5fea,,Gym / Fitness Center,"Inglewood, CA",United States,33.961354,-118.352083
Inglewood,33.96178000000003,-118.35673999999996,Branded Body Dance Fitness,5210323611d214b05e728c1a,,Gym / Fitness Center,116 S Market St,"Inglewood, CA 90301",33.962537820370095,-118.35175288902718
Inglewood,33.96178000000003,-118.35673999999996,Clear Gardens Yoga Studio,51042fb4e4b05421a102ddf4,,Yoga Studio,223 North La Brea Avenue (Manchester),"Inglewood, CA 90301",33.961298812763715,-118.3534913202524
Inglewood,33.96178000000003,-118.35673999999996,Tortuga Bay,4c7c0d683badb1f7b6b45654,,Mexican Restaurant,147 W Manchester Blvd (fir),"Inglewood, CA 90301",33.96204278970028,-118.35696576110698
Inglewood,33.96178000000003,-118.35673999999996,Children's Lunch Room,4e4ae87faeb72792c33363d8,,Cafeteria,101 W Manchester Blvd,"Inglewood, CA 90301",33.962664874567515,-118.35587110226282
Inglewood,33.96178000000003,-118.35673999999996,Vennie Mac Meats,4f32a5c819836c91c7ec268e,,Food,120 S Eucalyptus Ave,"Inglewood, CA 90301",33.962891,-118.359559
Inglewood,33.96178000000003,-118.35673999999996,La Tropicana Fruit & Yogurt,4b78b51ff964a520bfde2ee3,,Ice Cream Shop,303 W Manchester Blvd (S Eucalyptus Ave),"Inglewood, CA 90301",33.96187948474062,-118.35984874442788
Inglewood,33.96178000000003,-118.35673999999996,Cafetales,4cdee6caffcf370487e81582,,Latin American Restaurant,115 S LA Brea Ave (Manchester),"Inglewood, CA 90301",33.96191947835821,-118.35356551060644
Inglewood,33.96178000000003,-118.35673999999996,Gomo's Fish Market,4c74352ac219224bc0329f28,,Seafood Restaurant,120 S Eucalyptus Ave (at Manchester Blvd.),"Inglewood, CA 90301",33.9619917336252,-118.35951204664808
Inglewood,33.96178000000003,-118.35673999999996,Mutiara Food & Market,4be637b62457a593bdacac15,,Restaurant,225 S LA Brea Ave,"Inglewood, CA 90301",33.96126675744327,-118.35355511377418
Inglewood,33.96178000000003,-118.35673999999996,jamz creamery,56cd0e8acd1051ef2077dd3a,,Snack Place,231 Manchester Blvd,"Inglewood, CA 90301",33.961426,-118.351889
Inglewood,33.96178000000003,-118.35673999999996,SUBWAY,4bcf54ba046076b0f1196e71,,Sandwich Place,300 W Manchester Blvd (Eucalyptus Ave.),"Inglewood, CA 90301",33.961391858456196,-118.35972117913313
Inglewood,33.96178000000003,-118.35673999999996,Little Belize,4b624b1af964a520c4402ae3,,Caribbean Restaurant,217 E Nutwood St,"Inglewood, CA 90301",33.96058595240374,-118.35254132961722
Inglewood,33.96178000000003,-118.35673999999996,Carl's Jr.,4bbb8cf33de8c9b67de699ad,,Fast Food Restaurant,344 W Manchester Blvd (at Inglewood Ave),"Inglewood, CA 90301",33.96135094007301,-118.36126775623565
Inglewood,33.96178000000003,-118.35673999999996,Dulan's Soul Food Kitchen,4b88240bf964a52098e231e3,,Southern / Soul Food Restaurant,202 E Manchester Blvd (at La Brea Ave),"Inglewood, CA 90301",33.9616,-118.35291
Inglewood,33.96178000000003,-118.35673999999996,Charley's Tacos,4c1c3c55b4e62d7fe0d7da93,,Taco Place,414 W Manchester Blvd (Inglewood Ave),"Inglewood, CA 90301",33.961445357248394,-118.36233977023787
Inglewood,33.96178000000003,-118.35673999999996,Rusty Pot Cafe,5352e70d498e1182c367ce3c,,Café,324 S Market St,"Inglewood, CA 90301",33.959940248075576,-118.35174615110448
Inglewood,33.96178000000003,-118.35673999999996,MiddleBar,5a63a05b59c42311fd8e49f5,,Cocktail Bar,129 N Market Street,"Inglewood, CA 90301",33.963838,-118.351907
Inglewood,33.96178000000003,-118.35673999999996,Canton Kitchen,4c6ef284fa49a1cde57ea1e3,,Chinese Restaurant,402 W Manchester Blvd (Inglewood Ave),"Inglewood, CA 90301",33.9613508568278,-118.36211342555842
Inglewood,33.96178000000003,-118.35673999999996,7-Eleven,4b5a1722f964a52088ac28e3,,Convenience Store,345 W Manchester Blvd (Inglewood Ave),"Inglewood, CA 90301",33.9620335,-118.3615281
Inglewood,33.96178000000003,-118.35673999999996,Sweet Red Peach,4d852944d5fab60cc1eff19b,,Cupcake Shop,214 E Nutwood St,"Inglewood, CA 90301",33.96044611930847,-118.35300385951996
Inglewood,33.96178000000003,-118.35673999999996,Good Cake Company,4f4816c2e4b0e7e90e404fd1,,Cupcake Shop,323 E Hillcrest Blvd (at S Locust St),"Inglewood, CA 90301",33.96012129795854,-118.35079191055908
Inglewood,33.96178000000003,-118.35673999999996,Stuff I Eat,4b4efb2ff964a52009f826e3,,Vegetarian / Vegan Restaurant,114 N Market St (btwn E Regent & Queen St),"Inglewood, CA 90301",33.96334641625662,-118.35175232159604
Inglewood,33.96178000000003,-118.35673999999996,Curtis Tucker Health Center,4c7bdcdb88449eb03093ab79,,Doctor's Office,123 W Manchester Blvd (S Fir Ave),"Inglewood, CA 90301",33.96239923546002,-118.35636759931037
Inglewood,33.96178000000003,-118.35673999999996,Free STD Clinics,52d6df5211d24f844b4608fa,,Medical Center,123 W Manchester Blvd,"Inglewood, CA 90301",33.962333,-118.356494
Inglewood,33.96178000000003,-118.35673999999996,Kaiser Permanente Inglewood,5511bdf8498ed87a67c622cc,,Medical Center,110 N LA Brea Ave,"Inglewood, CA 90301",33.962893863915795,-118.36086671931653
Inglewood,33.96178000000003,-118.35673999999996,Free STD Clinics,52d6df5211d24f844b4608dd,,Medical Center,160 S LA Brea Ave,"Inglewood, CA 90301",33.961992,-118.353311
Inglewood,33.96178000000003,-118.35673999999996,Kaiser Permanente Laboratory,5187f00e498e6b8cf707d84c,,Medical Lab,110 N LA Brea Ave,"Inglewood, CA 90301",33.963031,-118.353205
Inglewood,33.96178000000003,-118.35673999999996,Advanced Dental Cosmetics,4c5c56ca9b28d13a21825670,,Dentist's Office,101 N LA Brea Ave (btw Regent & Queen),"Inglewood, CA 90301",33.963354,-118.353579
Inglewood,33.96178000000003,-118.35673999999996,Kaiser Permanente Pediatrics,5182ce15498ed622a4ec30c8,,Doctor's Office,110 N LA Brea Ave,"Inglewood, CA 90301",33.963103,-118.353076
Inglewood,33.96178000000003,-118.35673999999996,AFEDS,53f247c4498e27c55fea03bf,,Medical Center,110 S LA Brea Ave (E Queen St),"Inglewood, CA 90301",33.96285268855396,-118.35296057292142
Inglewood,33.96178000000003,-118.35673999999996,Ingelwood Family Dental,4d9df449a695721e96761d0d,,Dentist's Office,"Inglewood, CA 90301",United States,33.960214,-118.359678
Inglewood,33.96178000000003,-118.35673999999996,All American Healing Group,4cc5bb8ed43ba14307836ff8,,Medical Center,126 1/2 S Market St (at Manchester Blvd),"Inglewood, CA 90301",33.962393403053284,-118.35152328014374
Inglewood,33.96178000000003,-118.35673999999996,Womens clinic of Inglewood,4f7cc87ae4b01f9f433470c0,,Doctor's Office,"Inglewood, CA 90301",United States,33.9616094147892,-118.36190315697931
Inglewood,33.96178000000003,-118.35673999999996,Doctor Office,4f34520be4b03079837addf4,,Doctor's Office,"Inglewood, CA 90301",United States,33.961910247802734,-118.3623046875
Inglewood,33.96178000000003,-118.35673999999996,Dental Lab,4f4bf7eee4b01d1ccc37d605,,Dentist's Office,302 E Manchester Blvd (Market),"Inglewood, CA 90301",33.961723,-118.351614
Inglewood,33.96178000000003,-118.35673999999996,Dr. Campbell's,5249ed0711d20df71621f393,,Dentist's Office,"Inglewood, CA",United States,33.96055603027344,-118.35224151611328
Inglewood,33.96178000000003,-118.35673999999996,Childrens Dentistry,4f1f59b3e4b0a6dc4f4e956d,,Dentist's Office,345 Manchester Blvd,"Inglewood, CA 90301",33.96186947129915,-118.35083185985468
Inglewood,33.96178000000003,-118.35673999999996,"Emmanuel Mba, M.D.",4c211eee9085d13ac24c84cc,,Doctor's Office,325 E Hillcrest,"Los Angeles, CA",33.96047780471203,-118.35058074983961
Inglewood,33.96178000000003,-118.35673999999996,The Secret Spot,4f40b529e4b0085fedbe07b1,,Nightclub,Nutwood & LaBrea,"Inglewood, CA 90301",33.961043,-118.35367
Inglewood,33.96178000000003,-118.35673999999996,Market St. Bar & Grill,4c02b6010b8eef3be997b882,,Lounge,244 S Market St,"Inglewood, CA 90301",33.96083901736097,-118.35172572285057
Inglewood,33.96178000000003,-118.35673999999996,Inglewood Flower Garden,4c9d22e20e9bb1f70158da5f,,Bar,202 E Manchester Blvd,"Inglewood, CA 90301",33.96157961461103,-118.3535483897584
